id,code,name,account_type,chart_template_id/id,reconcile,tag_ids/id
lb_coa_101000,101000,Capital,Equity,l10n_lb.l10n_lb_chart_template,No,
lb_coa_102000,102000,Issuance Premiums,Equity,l10n_lb.l10n_lb_chart_template,No,
lb_coa_111000,111000,Legal Reserve,Equity,l10n_lb.l10n_lb_chart_template,No,
lb_coa_112000,112000,Statutory And Contractual Reserves,Equity,l10n_lb.l10n_lb_chart_template,No,
lb_coa_119000,119000,Other Reserves,Equity,l10n_lb.l10n_lb_chart_template,No,
lb_coa_121000,121000,Brought Forward Results - Profits,Equity,l10n_lb.l10n_lb_chart_template,No,
lb_coa_125000,125000,Brought Forward Results - Losses,Equity,l10n_lb.l10n_lb_chart_template,No,
lb_coa_138000,138000,Current Year Results - Profits,Current Year Earnings,l10n_lb.l10n_lb_chart_template,No,
lb_coa_139000,139000,Current Year Results - Losses,Equity,l10n_lb.l10n_lb_chart_template,No,
lb_coa_151100,151100,Provisions For Litigations and Alike,Non-current Liabilities,l10n_lb.l10n_lb_chart_template,No,
lb_coa_155100,155100,Provisions for Deferred Charges,Non-current Liabilities,l10n_lb.l10n_lb_chart_template,No,
lb_coa_155200,155200,Provisions for Personnel End of Service Indemnity,Non-current Liabilities,l10n_lb.l10n_lb_chart_template,No,
lb_coa_161000,161000,Long Term Loans Against Bonds,Non-current Liabilities,l10n_lb.l10n_lb_chart_template,No,
lb_coa_162000,162000,Long Term Loans from Banks,Non-current Liabilities,l10n_lb.l10n_lb_chart_template,No,
lb_coa_168000,168000,Shareholder Loan,Non-current Liabilities,l10n_lb.l10n_lb_chart_template,No,
lb_coa_212000,212000,Formation Expenses,Fixed Assets,l10n_lb.l10n_lb_chart_template,No,
lb_coa_214000,214000,"Assets - Patents, Licenses, Trade Marks & Alike",Fixed Assets,l10n_lb.l10n_lb_chart_template,No,
lb_coa_219100,219100,Assets - Softwares,Fixed Assets,l10n_lb.l10n_lb_chart_template,No,
lb_coa_221000,221000,Assets - Lands,Fixed Assets,l10n_lb.l10n_lb_chart_template,No,
lb_coa_223000,223000,Assets - Buildings & Contructions,Fixed Assets,l10n_lb.l10n_lb_chart_template,No,
lb_coa_224000,224000,Assets - Machinery and Equipment,Fixed Assets,l10n_lb.l10n_lb_chart_template,No,
lb_coa_225000,225000,Assets - Vehicles & Handling Equipment,Fixed Assets,l10n_lb.l10n_lb_chart_template,No,
lb_coa_226100,226100,Assets - Decor and Improvements,Fixed Assets,l10n_lb.l10n_lb_chart_template,No,
lb_coa_226210,226210,Assets - Office Equipment,Fixed Assets,l10n_lb.l10n_lb_chart_template,No,
lb_coa_226220,226220,Assets - Computer Equipment,Fixed Assets,l10n_lb.l10n_lb_chart_template,No,
lb_coa_226300,226300,Assets - Furnitures and Accessories,Fixed Assets,l10n_lb.l10n_lb_chart_template,No,
lb_coa_251000,251000,Equity Participations,Equity,l10n_lb.l10n_lb_chart_template,No,
lb_coa_253100,253100,Ownership Deeds (Shares & Parts),Equity,l10n_lb.l10n_lb_chart_template,No,
lb_coa_255100,255100,Loans to Partners/Affiliates,Non-current Assets,l10n_lb.l10n_lb_chart_template,No,
lb_coa_259000,259000,Deposits and Guarantees,Non-current Assets,l10n_lb.l10n_lb_chart_template,No,
lb_coa_281100,281100,Amortization of Formation Expenses,Fixed Assets,l10n_lb.l10n_lb_chart_template,No,
lb_coa_281300,281300,"Amortization of Patents, Licenses, Trade Marks",Fixed Assets,l10n_lb.l10n_lb_chart_template,No,
lb_coa_281900,281900,Amortization of Softwares,Fixed Assets,l10n_lb.l10n_lb_chart_template,No,
lb_coa_282100,282100,Depreciation of Lands,Fixed Assets,l10n_lb.l10n_lb_chart_template,No,
lb_coa_282300,282300,Depreciation of Buildings & Constructions,Fixed Assets,l10n_lb.l10n_lb_chart_template,No,
lb_coa_282400,282400,Depreciation of Machinery and Equipment,Fixed Assets,l10n_lb.l10n_lb_chart_template,No,
lb_coa_282500,282500,Depreciation of Vehicles & Handling Equipment,Fixed Assets,l10n_lb.l10n_lb_chart_template,No,
lb_coa_282610,282610,Depreciation of Decor and Improvements,Fixed Assets,l10n_lb.l10n_lb_chart_template,No,
lb_coa_282621,282621,Depreciation of Office Equipment,Fixed Assets,l10n_lb.l10n_lb_chart_template,No,
lb_coa_282622,282622,Depreciation of Computer Equipment,Fixed Assets,l10n_lb.l10n_lb_chart_template,No,
lb_coa_282630,282630,"Depreciation of Furnitures, Fixtures and Accessories",Fixed Assets,l10n_lb.l10n_lb_chart_template,No,
lb_coa_370000,370000,Inventories - Purchased Finished Goods,Current Assets,l10n_lb.l10n_lb_chart_template,No,
lb_coa_370050,370050,Inventories - Revaluation,Current Assets,l10n_lb.l10n_lb_chart_template,No,
